INDICATIVO;AÑO;MES;ALTITUD;C_X;C_Y;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31
7205;2023;7;450;603946;4177121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;0;0;0;0;0;0;0;0;0;0;0
7205I;2023;7;547;611317;4177001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0
7207;2023;7;580;616635;4183549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;0;0;0;0
7207M;2023;7;445;614647;4177149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0
7209;2023;7;312;615799;4168318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0
7211B;2023;7;445;606219;4158572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0
7213U;2023;7;245;626607;4173029;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0
7214;2023;7;799;624929;4188356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;268;0;0;0;0;0;0;0;0;0;0;0
7215;2023;7;1200;624526;4190755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;156;0;0;0;0;0;0;0;0;0;0;0
7218Y;2023;7;281;631005;4180075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0
7219;2023;7;760;630390;4190908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;163;0;0;0;0;0;0;0;0;0;0;0
7220;2023;7;705;633302;4193729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0
7221B;2023;7;167;639304;4188526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;60;0;0;0;0;0;-3;0;0;0;0;0
7221F;2023;7;210;639019;4190895;0;0;0;0;0;0;0;0;0;0;0;-3;0;0;0;0;0;0;0;55;-3;0;0;0;0;0;0;0;0;0;0
7225A;2023;7;164;646909;4196807;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0
7227X;2023;7;157;646486;4191774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0
7228;2023;7;75;655618;4202611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;24;0;0;0;0;0;0;0;0;0;0;0
7228D;2023;7;455;657468;4193942;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0
7232;2023;7;36;671099;4214137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;-3;3;0;0;0;0;-3;0;0;0;0
7233A;2023;7;33;669848;4209793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7237;2023;7;192;664208;4226915;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0
7237E;2023;7;170;661370;4222828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0
7244;2023;7;26;677074;4215260;0;0;0;0;0;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-3;0;0;0;0;0;0;0;0;0
7244X;2023;7;26;677074;4215260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
7245A;2023;7;22;680066;4216682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
7247;2023;7;575;671237;4252574;0;0;0;0;0;0;-3;0;0;0;0;0;0;0;0;0;0;0;0;52;0;-3;0;0;0;0;-3;0;0;0;0
7247E;2023;7;575;671322;4251990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0
7247X;2023;7;575;671322;4251990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0
7250C;2023;7;174;672171;4229217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
7253;2023;7;22;683394;4220458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7255A;2023;7;280;689543;4236760;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0
7256;2023;7;18;685879;4221532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7256B;2023;7;13;688580;4219589;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
7256F;2023;7;17;685100;4223642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
