	INDICATIVO	ANO	MES	ALTITUD	C_X	C_Y	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31
137	8008A	2023	7	486	685931	4271992	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
138	8008Y	2023	7	486	685931	4271992	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
140	8010A	2023	7	526	695364	4261452	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	1.0	0	0	0	0	0	0	1	0	0	0	0
141	8011A	2023	7	410	692687	4261881	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
144	8013X	2023	7	230	695835	4251099	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	40.0	0	0	0	0	0	0	0	0	0	0	0
145	8014O	2023	7	578	678903	4252679	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	39.0	0	0	0	0	0	0	0	0	0	0	0
146	8015A	2023	7	367	687396	4242324	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	40.0	0	0	0	0	0	0	0	0	0	0	0
147	8017	2023	7	258	694674	4245889	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	48.0	0	0	0	0	0	0	0	0	0	0	0
148	8018	2023	7	63	701604	4235880	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
150	8018B	2023	7	85	700275	4237482	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
152	8018X	2023	7	110	702856	4240261	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
154	8019A	2023	7	0	712741	4230520	0	0	0	0	0	0	2	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
155	8021A	2023	7	306	706079	4256846	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
